,e,r,roll_avg_r,roll_std_r,upper_r,lower_r
0,0,26.0,,,,
1,1,32.0,,,,
2,2,43.0,,,,
3,3,32.0,,,,
4,4,15.0,,,,
5,5,17.0,,,,
6,6,11.0,,,,
7,7,40.0,,,,
8,8,31.0,,,,
9,9,21.0,,,,
10,10,56.0,,,,
11,11,25.0,,,,
12,12,28.0,,,,
13,13,31.0,,,,
14,14,27.0,,,,
15,15,21.0,,,,
16,16,21.0,,,,
17,17,20.0,,,,
18,18,18.0,,,,
19,19,52.0,,,,
20,20,26.0,,,,
21,21,21.0,,,,
22,22,10.0,,,,
23,23,47.0,,,,
24,24,21.0,,,,
25,25,15.0,,,,
26,26,22.0,,,,
27,27,29.0,,,,
28,28,22.0,,,,
29,29,36.0,,,,
30,30,51.0,,,,
31,31,15.0,,,,
32,32,15.0,,,,
33,33,64.0,,,,
34,34,20.0,,,,
35,35,33.0,,,,
36,36,113.0,,,,
37,37,47.0,,,,
38,38,45.0,,,,
39,39,18.0,,,,
40,40,33.0,,,,
41,41,20.0,,,,
42,42,81.0,,,,
43,43,27.0,,,,
44,44,49.0,,,,
45,45,53.0,,,,
46,46,23.0,,,,
47,47,21.0,,,,
48,48,15.0,,,,
49,49,39.0,31.96,18.924080329742065,69.05119744629445,-5.131197446294443
50,50,49.0,32.42,19.055332961817125,69.76845260516157,-4.92845260516156
51,51,49.0,32.76,19.198809486900107,70.38966659432421,-4.869666594324208
52,52,35.0,32.6,19.144989220286803,70.12417887176213,-4.92417887176213
53,53,33.0,32.62,19.144871962198636,70.14394904590932,-4.903949045909329
54,54,90.0,34.12,20.617646493690188,74.53058712763277,-6.290587127632769
55,55,25.0,34.28,20.512853113527203,74.48519210251331,-5.925192102513314
56,56,34.0,34.74,20.236166854905886,74.40288703561554,-4.922887035615531
57,57,39.0,34.72,20.231355740583492,74.37345725154364,-4.9334572515436435
58,58,66.0,35.42,20.700083801466963,75.99216425087525,-5.152164250875245
59,59,70.0,36.4,21.15829552179842,77.8702592227249,-5.0702592227249
60,60,16.0,35.6,21.15829552179842,77.0702592227249,-5.870259222724897
61,61,21.0,35.52,21.20669898010185,77.08513000099964,-6.045130000999627
62,62,63.0,36.22,21.528614086601017,78.416083609738,-5.976083609737991
63,63,29.0,36.18,21.540365524725328,78.39911642846164,-6.039116428461639
64,64,23.0,36.1,21.582542075691165,78.40178246835468,-6.201782468354679
65,65,18.0,36.04,21.629496111579115,78.43381237869507,-6.353812378695068
66,66,27.0,36.16,21.560886733497156,78.41933799765442,-6.09933799765443
67,67,18.0,36.12,21.59330962145829,78.44288685805824,-6.20288685805825
68,68,11.0,35.98,21.735412654589883,78.58140880299617,-6.6214088029961715
69,69,23.0,35.4,21.68607189616677,77.90470091648686,-7.10470091648687
70,70,44.0,35.76,21.676244873979776,78.24543995300036,-6.725439953000361
71,71,25.0,35.84,21.627986404618603,78.23085335305247,-6.55085335305246
72,72,30.0,36.24,21.32313106387865,78.03333688520216,-5.553336885202157
73,73,46.0,36.22,21.313299479289388,77.9940669794072,-5.554066979407203
74,74,19.0,36.18,21.3443009647416,78.01482989089354,-5.654829890893531
75,75,25.0,36.38,21.18806941923415,77.90861606169894,-5.148616061698931
76,76,42.0,36.78,21.09965663711335,78.13532700874217,-4.575327008742164
77,77,32.0,36.84,21.081339073760397,78.15942458457039,-4.479424584570374
78,78,18.0,36.76,21.146293157092895,78.20673458790208,-4.686734587902073
79,79,21.0,36.46,21.263372743009583,78.13621057629878,-5.216210576298778
80,80,11.0,35.66,21.456752897350494,77.71523567880696,-6.395235678806969
81,81,22.0,35.8,21.341728790215228,77.62978842882185,-6.029788428821853
82,82,27.0,36.04,21.16982835672176,77.53286357917464,-5.452863579174647
83,83,22.0,35.2,20.868881236943015,76.10300722440832,-5.703007224408303
84,84,40.0,35.6,20.76299691317046,76.2954739498141,-5.0954739498140995
85,85,88.0,36.7,22.040084077027668,79.89856479097423,-6.498564790974228
86,86,33.0,35.1,19.09508965623339,72.52637572621745,-2.3263757262174423
87,87,11.0,34.38,19.314676665527617,72.23676626443412,-3.4767662644341257
88,88,89.0,35.26,20.756911806795866,75.9435471413199,-5.423547141319901
89,89,36.0,35.62,20.60700297055763,76.00972582229295,-4.769725822292955
90,90,11.0,35.18,20.896919019075405,76.1379612773878,-5.777961277387796
91,91,32.0,35.42,20.787643503990036,76.16378126782047,-5.323781267820472
92,92,21.0,34.22,19.81165396056222,73.05084176270195,-4.610841762701952
93,93,20.0,34.08,19.888300324460054,73.0610686359417,-4.901068635941705
94,94,21.0,33.52,19.853792111949023,72.4334325394201,-5.393432539420083
95,95,16.0,32.78,19.802380809243246,71.59266638611676,-6.032666386116759
96,96,75.0,33.82,20.626602596983272,74.24814109008722,-6.608141090087209
97,97,43.0,34.26,20.582149983886115,74.60101396841678,-6.081013968416784
98,98,17.0,34.3,20.545867055474293,74.56989942872961,-5.969899428729619
99,99,99.0,35.5,22.486503888840893,79.57354762212816,-8.573547622128153
100,100,80.0,36.12,23.279701239404208,81.74821442923223,-9.508214429232247
101,101,84.0,36.82,24.18355825340675,84.21977417667723,-10.579774176677233
102,102,130.0,38.72,27.537017756808286,92.69255480334424,-15.252554803344239
103,103,24.0,38.54,27.60450273829563,92.64482536705944,-15.564825367059434
104,104,57.0,37.88,26.729667076879498,90.27014747068381,-14.510147470683812
105,105,102.0,39.42,28.152710385339734,94.59931235526588,-15.759312355265877
106,106,31.0,39.36,28.16769027645333,94.56867294184852,-15.848672941848527
107,107,78.0,40.14,28.6926073106944,96.37751032896102,-16.09751032896102
108,108,33.0,39.48,28.46425613907765,95.26994203259218,-16.309942032592197
109,109,51.0,39.1,28.173840812399867,94.32072799230374,-16.120727992303735
110,110,39.0,39.56,27.976053900375838,94.39306564473665,-15.27306564473664
111,111,71.0,40.56,28.191878986976477,95.8160828144739,-14.69608281447389
112,112,118.0,41.66,30.094144796295634,100.64452380073944,-17.324523800739442
113,113,40.0,41.88,30.039864669930765,100.7581347530643,-16.998134753064292
114,114,139.0,44.2,32.89562963342686,108.67543408151664,-20.275434081516636
115,115,70.0,45.24,32.87239397601405,109.66989219298753,-19.189892192987536
116,116,33.0,45.36,32.81535230557147,109.67809051892009,-18.958090518920088
117,117,28.0,45.56,32.67537298945491,109.60373105933162,-18.483731059331618
118,118,141.0,48.16,34.96141313166939,116.684369738072,-20.364369738072
119,119,34.0,48.38,34.83423720469062,116.65510492119361,-19.895104921193614
120,120,38.0,48.26,34.85995890264182,116.58551944917798,-20.065519449177977
121,121,83.0,49.42,35.034729125511426,118.08806908600239,-19.24806908600239
122,122,124.0,51.3,36.46426822442563,122.76996571987424,-20.16996571987424
123,123,73.0,51.84,36.58390412211805,123.54445207935137,-19.864452079351366
124,124,48.0,52.42,36.28126519405893,123.5312797803555,-18.6912797803555
125,125,94.0,53.8,36.528434549159705,125.39573171635301,-17.795731716353018
126,126,163.0,56.22,39.60895075095825,133.85354347187817,-21.41354347187817
127,127,137.0,58.32,41.0556814532634,138.78913564839627,-22.14913564839626
128,128,118.0,60.32,41.48490750888096,141.63041871740668,-20.990418717406676
129,129,95.0,61.8,41.3733622278975,142.89178996667908,-19.291789966679104
130,130,36.0,62.3,40.89521203450275,142.45461558762537,-17.85461558762539
131,131,145.0,64.76,42.10315805693614,147.28218979159482,-17.76218979159482
132,132,177.0,67.76,44.626138583771265,155.2272316241917,-19.707231624191678
133,133,141.0,70.14,45.303966578602164,158.93577449406024,-18.65577449406024
134,134,231.0,73.96,50.4688062882734,172.87886032501586,-24.958860325015863
135,135,139.0,74.98,51.267402222194214,175.46410835550066,-25.504108355500648
136,136,161.0,77.54,52.31350159356178,180.0744631233811,-24.99446312338108
