,r,roll_avg_r,roll_std_r,upper_r,lower_r
0,10,,,,
1,32,,,,
2,17,,,,
3,37,,,,
4,23,,,,
5,24,,,,
6,15,,,,
7,18,,,,
8,20,,,,
9,31,,,,
10,76,,,,
11,23,,,,
12,34,,,,
13,35,,,,
14,70,,,,
15,49,,,,
16,54,,,,
17,83,,,,
18,30,,,,
19,54,,,,
20,28,,,,
21,52,,,,
22,50,,,,
23,45,,,,
24,48,,,,
25,34,,,,
26,32,,,,
27,39,,,,
28,49,,,,
29,22,,,,
30,14,,,,
31,23,,,,
32,36,,,,
33,25,,,,
34,37,,,,
35,31,,,,
36,34,,,,
37,54,,,,
38,29,,,,
39,87,,,,
40,25,,,,
41,13,,,,
42,10,,,,
43,13,,,,
44,16,,,,
45,15,,,,
46,17,,,,
47,18,,,,
48,11,,,,
49,31,33.46,18.640760692194764,69.99589095670174,-3.075890956701734
50,11,33.48,18.615595831540425,69.96656782981923,-3.0065678298192324
51,23,33.3,18.673619939172294,69.9002950807777,-3.300295080777701
52,16,33.28,18.69196051127602,69.916242602101,-3.3562426021009983
53,16,32.86,18.84199608126832,69.7903123192859,-4.070312319285904
54,15,32.7,18.96102339440742,69.86360585303854,-4.463605853038537
55,12,32.46,19.14841070828233,69.99088498823338,-5.070884988233367
56,10,32.36,19.254217666765477,70.09826662686034,-5.378266626860338
57,15,32.3,19.304488216633008,70.13679690460069,-5.536796904600699
58,23,32.36,19.270110089388254,70.12941577520098,-5.409415775200976
59,15,32.04,19.425377888794056,70.11374066203635,-6.033740662036351
60,12,30.76,18.55885288502938,67.13535165465758,-5.615351654657584
61,31,30.92,18.52504096775883,67.22908029680731,-5.3890802968073075
62,28,30.8,18.524115556291946,67.10726649033221,-5.50726649033221
63,42,30.94,18.582864610787468,67.36241463714343,-5.482414637143432
64,45,30.44,17.831593150521197,65.38992257502154,-4.509922575021545
65,16,29.78,17.741097221204924,64.55255055356164,-4.9925505535616495
66,13,28.96,17.545230179191623,63.348651151215584,-5.428651151215583
67,18,27.66,15.778582745905537,58.586022181974855,-3.2660221819748507
68,18,27.42,15.833431435428276,58.453525613439425,-3.6135256134394176
69,17,26.68,15.425184813499396,56.913362234458816,-3.5533622344588167
70,21,26.54,15.444713777647987,56.811639004190056,-3.731639004190054
71,36,26.22,15.067589219844008,55.752474870894254,-3.312474870894256
72,10,25.42,14.839398744627122,54.50522153946916,-3.665221539469158
73,23,24.98,14.57071426820643,53.538599965684604,-3.578599965684603
74,10,24.22,14.33461630075239,52.31584794947469,-3.875847949474686
75,10,23.74,14.402111523194467,51.968138585461155,-4.488138585461158
76,13,23.36,14.43035349673793,51.64349285360634,-4.923492853606341
77,12,22.82,14.338032768600776,50.92254422645752,-5.282544226457521
78,9,22.02,13.958378363212988,49.37842159189746,-5.338421591897458
79,8,21.74,14.098501874385134,49.37306367379486,-5.893063673794863
80,8,21.62,14.190957166665072,49.43427604666354,-6.194276046663539
81,9,21.34,14.300863396227212,49.36969225660533,-6.689692256605337
82,10,20.82,14.229446329957577,48.709714806716846,-7.069714806716849
83,11,20.54,14.283156913951892,48.53498755134571,-7.45498755134571
84,11,20.02,14.14428564214294,47.742799858600165,-7.702799858600162
85,9,19.58,14.137935651635857,47.29035387720628,-8.130353877206282
86,10,19.1,14.045480063140667,46.62914092375571,-8.429140923755707
87,9,18.2,13.178523035141511,44.02990514887736,-7.629905148877363
88,9,17.8,13.147514702678343,43.56912881724955,-7.969128817249551
89,10,16.26,8.599501646690285,33.115023227512964,-0.5950232275129572
90,11,15.98,8.536811047290623,32.71214965268962,-0.7521496526896208
91,11,15.94,8.555723707744756,32.70921846717972,-0.8292184671797198
92,12,15.98,8.53202849292488,32.702775846132766,-0.7427758461327656
93,9,15.9,8.579163176926226,32.715159826775405,-0.9151598267754029
94,9,15.76,8.634435093725326,32.68349278370164,-1.1634927837016402
95,9,15.64,8.686748058780976,32.66602619521071,-1.386026195210711
96,9,15.48,8.734730116270452,32.60007102789008,-1.6400710278900839
97,10,15.32,8.760859150860997,32.49128393568755,-1.851283935687551
98,10,15.3,8.772056748097171,32.49323122627045,-1.893231226270455
99,10,14.88,8.50363667701615,31.547127886951657,-1.7871278869516534
100,8,14.82,8.54206876438668,31.562454778197893,-1.922454778197892
101,9,14.54,8.49780283727652,31.19569356106198,-2.115693561061981
102,9,14.4,8.53085635819066,31.12047846205369,-2.320478462053691
103,10,14.28,8.550068623665435,31.038134502384253,-2.4781345023842523
104,10,14.18,8.570690444408662,30.978553271040976,-2.6185532710409767
105,17,14.28,8.573904404336117,31.084852632498787,-2.5248526324987903
106,9,14.26,8.585250760009593,31.0870914896188,-2.567091489618802
107,11,14.18,8.596843274465034,31.029812817951466,-2.669812817951467
108,9,13.9,8.531454406237817,30.62165063622612,-2.821650636226119
109,10,13.8,8.547585886658075,30.553268337849826,-2.953268337849824
110,11,13.78,8.553051728918247,30.54398138867976,-2.983981388679764
111,11,13.38,8.19130948142045,29.434966583584085,-2.674966583584082
112,9,13.0,7.935968235617825,28.554497741810934,-2.554497741810936
113,11,12.38,6.745792339356044,25.60175298513785,-0.8417529851378465
114,10,11.68,4.837945254518152,21.162372698855577,2.197627301144422
115,9,11.54,4.811593142757292,20.970722559804294,2.109277440195706
116,11,11.5,4.80751962013257,20.922738455459836,2.0772615445401623
117,10,11.34,4.71908846265545,20.58941338680468,2.0905866131953186
118,12,11.22,4.621555529278483,20.278248837385828,2.1617511626141734
119,10,11.08,4.548334523622461,19.994735666300024,2.1652643336999766
120,13,10.92,4.327604795415886,19.402105399015134,2.4378946009848637
121,10,10.4,2.3733211036909747,15.05170936323431,5.74829063676569
122,8,10.36,2.396936820704592,15.057996168580999,5.662003831418999
123,9,10.08,1.5628336378489869,13.143153930184013,7.016846069815986
124,10,10.08,1.5628336378489869,13.143153930184013,7.016846069815986
125,9,10.06,1.5702593052469862,13.137708238284093,6.982291761715908
126,9,9.98,1.5184578643198332,12.956177414066874,7.003822585933127
127,9,9.92,1.4961174241814177,12.852390151395578,6.987609848604421
128,11,9.96,1.4977534196665727,12.895596702546484,7.024403297453518
129,11,10.02,1.477587664445975,12.91607182231411,7.1239281776858885
130,12,10.1,1.4742691028966055,12.989567441677346,7.210432558322653
131,10,10.12,1.4658006101008039,12.992969195797574,7.247030804202424
132,13,10.18,1.5211435011269867,13.161441262208893,7.198558737791106
133,10,10.16,1.5167096502843798,13.132750914557384,7.187249085442616
134,11,10.16,1.5167096502843798,13.132750914557384,7.187249085442616
135,11,10.2,1.5118578920370604,13.163241468392638,7.236758531607361
136,9,10.18,1.5211435011269867,13.161441262208893,7.198558737791106
137,14,10.28,1.6040764397279366,13.423989821866755,7.136010178133244
138,11,10.32,1.5964245765371703,13.448992170012854,7.1910078299871465
139,11,10.34,1.5985963230540996,13.473248793186034,7.206751206813965
140,11,10.34,1.5985963230540996,13.473248793186034,7.206751206813965
141,12,10.36,1.6132107672564955,13.52189310382273,7.1981068961772685
142,9,10.3,1.6067459827432835,13.449222126176837,7.150777873823165
143,15,10.42,1.727213161750136,13.805337797030266,7.034662202969733
144,9,10.42,1.727213161750136,13.805337797030266,7.034662202969733
145,10,10.44,1.7161894191636982,13.803731261560849,7.076268738439151
146,9,10.44,1.7161894191636982,13.803731261560849,7.076268738439151
147,10,10.44,1.7161894191636982,13.803731261560849,7.076268738439151
148,10,10.44,1.7161894191636982,13.803731261560849,7.076268738439151
149,10,10.44,1.7161894191636982,13.803731261560849,7.076268738439151
150,10,10.48,1.6811075066693513,13.774970713071928,7.1850292869280725
151,9,10.48,1.6811075066693513,13.774970713071928,7.1850292869280725
152,12,10.54,1.680743275811069,13.834256820589694,7.245743179410304
153,10,10.54,1.680743275811069,13.834256820589694,7.245743179410304
154,12,10.58,1.6913947873075228,13.895133783122745,7.264866216877255
155,11,10.46,1.4172407800271203,13.237791928853156,7.682208071146845
156,10,10.48,1.4032033323211521,13.230278531349459,7.729721468650542
157,11,10.48,1.4032033323211521,13.230278531349459,7.729721468650542
158,10,10.5,1.3887301496589894,13.22191109333162,7.778088906668381
159,11,10.52,1.3885831863113467,13.24162304517024,7.7983769548297595
160,16,10.62,1.589378006951159,13.735180893624271,7.504819106375727
161,11,10.62,1.589378006951159,13.735180893624271,7.504819106375727
162,10,10.64,1.5748015748025037,13.726611086612907,7.553388913387094
163,10,10.62,1.5764853701983492,13.709911325588763,7.530088674411235
164,10,10.62,1.5764853701983492,13.709911325588763,7.530088674411235
165,12,10.68,1.5706491573583992,13.758472348422462,7.601527651577538
166,11,10.68,1.5706491573583992,13.758472348422462,7.601527651577538
167,11,10.7,1.5681784571501522,13.773629776014298,7.626370223985701
168,10,10.66,1.5598273059830188,13.717261519726717,7.602738480273283
169,8,10.62,1.602166900017177,13.760247124033667,7.479752875966332
170,9,10.54,1.5806224555342823,13.638020012847193,7.441979987152806
171,9,10.52,1.5938657921122954,13.643976952540099,7.3960230474599005
172,11,10.58,1.553008929367222,13.623897501559755,7.536102498440245
173,11,10.62,1.5371587890838048,13.632831226604257,7.607168773395742
174,10,10.62,1.5371587890838048,13.632831226604257,7.607168773395742
175,11,10.66,1.5200698157974206,13.639336838962944,7.680663161037056
176,11,10.7,1.5016997172593363,13.643331445828299,7.7566685541717
177,10,10.72,1.4851647335278095,13.630922877714507,7.809077122285494
178,10,10.7,1.488047618285839,13.616573331840243,7.783426668159755
179,10,10.68,1.490651138371073,13.601676231207303,7.758323768792697
180,10,10.64,1.4813121596362329,13.543371832887017,7.736628167112984
181,8,10.6,1.5252968931474766,13.589581910569054,7.610418089430945
182,9,10.52,1.5015638106825395,13.463065068937777,7.5769349310622225
183,10,10.52,1.5015638106825395,13.463065068937777,7.5769349310622225
184,13,10.56,1.5407392871673184,13.579849002847943,7.540150997152057
185,9,10.52,1.554978837050176,13.567758520618344,7.472241479381655
186,11,10.56,1.5407392871673184,13.579849002847943,7.540150997152057
187,12,10.52,1.4741306673732302,13.409296108051532,7.630703891948468
188,12,10.54,1.4874989281424502,13.455497899159202,7.624502100840797
189,10,10.52,1.4879104647191836,13.436304510849599,7.6036954891504
190,10,10.5,1.4880476182858409,13.416573331840247,7.583426668159752
191,10,10.46,1.473715282778301,13.348481954245472,7.57151804575453
192,10,10.48,1.4602208387636555,13.342032843976765,7.617967156023235
193,9,10.36,1.3211003453369587,12.94935667686044,7.77064332313956
194,9,10.36,1.3211003453369587,12.94935667686044,7.77064332313956
195,10,10.36,1.3211003453369587,12.94935667686044,7.77064332313956
196,11,10.4,1.3093073414161267,12.966242389175608,7.833757610824392
197,9,10.38,1.3231070421165518,12.973289802548443,7.786710197451559
198,9,10.36,1.336458921546055,12.979459486230267,7.740540513769732
199,9,10.34,1.3493762731466212,12.984777495367378,7.695222504632622
200,9,10.32,1.3618714614645075,12.989268064470435,7.650731935529565
201,9,10.32,1.3618714614645075,12.989268064470435,7.650731935529565
202,11,10.3,1.3439205515877957,12.93408428111208,7.665915718887922
203,17,10.44,1.6432918679485262,13.66085206117911,7.219147938820888
204,10,10.4,1.6288220358560501,13.592491190277858,7.2075088097221425
205,9,10.36,1.6383167070665898,13.571100745850515,7.148899254149484
206,9,10.34,1.6488709804604285,13.571787121702439,7.10821287829756
207,9,10.3,1.6567733578205945,13.547275781328366,7.052724218671635
208,10,10.3,1.6567733578205945,13.547275781328366,7.052724218671635
209,10,10.28,1.6541845515578666,13.522201721053417,7.037798278946581
210,9,10.14,1.44292786248204,12.968138610464798,7.311861389535203
211,12,10.16,1.4618970063391317,13.025318132424697,7.294681867575302
212,11,10.18,1.466496588778309,13.054333314005486,7.305666685994514
213,10,10.18,1.466496588778309,13.054333314005486,7.305666685994514
214,17,10.32,1.754760289461168,13.75933016734389,6.88066983265611
215,12,10.32,1.754760289461168,13.75933016734389,6.88066983265611
216,10,10.3,1.7525491637694581,13.734996360988138,6.865003639011863
217,9,10.26,1.7590581895679773,13.707754051553236,6.812245948446764
218,11,10.28,1.7617245725107573,13.732980162121084,6.827019837878915
219,10,10.32,1.7313437037193447,13.713433659289915,6.926566340710085
220,9,10.32,1.7313437037193447,13.713433659289915,6.926566340710085
221,10,10.34,1.7215323027431721,13.714203313376617,6.965796686623383
222,12,10.36,1.7351115943645854,13.760818724954586,6.959181275045412
223,10,10.34,1.733346415440036,13.73735897426247,6.9426410257375295
224,10,10.34,1.733346415440036,13.73735897426247,6.9426410257375295
225,11,10.34,1.733346415440036,13.73735897426247,6.9426410257375295
226,9,10.3,1.7408653724221224,13.71209612994736,6.887903870052641
227,10,10.3,1.7408653724221224,13.71209612994736,6.887903870052641
228,12,10.34,1.7567363060459718,13.783203159850105,6.896796840149895
229,9,10.32,1.766352173265698,13.78205025960077,6.857949740399232
230,8,10.28,1.796140988057465,13.80043633659263,6.759563663407368
231,12,10.36,1.7815379734995438,13.851814428059106,6.868185571940893
232,13,10.44,1.808821919010915,13.985290961261393,6.894709038738606
233,11,10.46,1.809385959661691,14.006396480936916,6.913603519063086
234,10,10.4,1.7728105208559641,13.87470862087769,6.92529137912231
235,11,10.44,1.763114128062015,13.895703691001549,6.98429630899845
236,16,10.54,1.9294706898156273,14.321762552038628,6.75823744796137
237,12,10.54,1.9294706898156273,14.321762552038628,6.75823744796137
238,12,10.54,1.9294706898156273,14.321762552038628,6.75823744796137
239,9,10.52,1.9403344967257894,14.323055613582547,6.7169443864174525
240,10,10.52,1.9403344967257894,14.323055613582547,6.7169443864174525
241,10,10.52,1.9403344967257894,14.323055613582547,6.7169443864174525
242,11,10.54,1.940018935316922,14.342437113221166,6.737562886778832
243,10,10.56,1.928941763385059,14.340725856234716,6.779274143765285
244,11,10.6,1.9166296949999364,14.356594202199876,6.843405797800124
245,10,10.6,1.9166296949999364,14.356594202199876,6.843405797800124
246,10,10.58,1.917587770388439,14.338472029961341,6.82152797003866
247,11,10.62,1.9047738094867246,14.35335666659398,6.886643333406019
248,12,10.68,1.8999462935482656,14.4038947353546,6.9561052646454
249,11,10.72,1.8848482859967628,14.414302640553656,7.025697359446346
250,12,10.78,1.8767101044985541,14.458351804817166,7.101648195182833
251,12,10.84,1.8665694824070984,14.498476185517912,7.181523814482087
252,10,10.82,1.8701740615270566,14.48554116059303,7.15445883940697
253,10,10.68,1.646765537256085,13.907660453021926,7.452339546978074
254,9,10.66,1.661201925334527,13.915955773655673,7.404044226344327
255,9,10.66,1.661201925334527,13.915955773655673,7.404044226344327
256,9,10.66,1.661201925334527,13.915955773655673,7.404044226344327
257,11,10.7,1.6444092047460408,13.923042041302239,7.47695795869776
258,10,10.7,1.6444092047460408,13.923042041302239,7.47695795869776
259,12,10.74,1.6513445356771095,13.976635289927135,7.503364710072866
260,12,10.8,1.6413036132967147,14.01695508206156,7.58304491793844
261,12,10.8,1.6413036132967147,14.01695508206156,7.58304491793844
262,13,10.84,1.6703903979708148,14.113965180022797,7.566034819977203
263,12,10.88,1.6738078303860537,14.160663347556666,7.599336652443336
264,9,10.72,1.4433521074647357,13.548970130630883,7.8910298693691185
265,12,10.72,1.4433521074647357,13.548970130630883,7.8910298693691185
266,12,10.76,1.4506859742614224,13.603344509552388,7.916655490447612
267,12,10.82,1.4383947969306545,13.639253801984083,8.000746198015918
268,13,10.86,1.4709430544341948,13.743048386691022,7.9769516133089775
269,14,10.94,1.5307727806970215,13.940314650166162,7.939685349833837
270,14,11.04,1.5643998653720066,14.106223736129131,7.9737762638708665
271,11,11.06,1.5572083865636335,14.112128437664722,8.007871562335279
272,10,11.02,1.5582564825170997,14.074182705733515,7.965817294266484
273,11,11.04,1.5512996526285112,14.080547319151881,7.999452680848117
274,11,11.06,1.5440471601131562,14.086332433821786,8.033667566178215
275,9,11.02,1.571298695931864,14.099745444026453,7.940254555973546
276,10,11.04,1.5512996526285112,14.080547319151881,7.999452680848117
277,14,11.12,1.5989792662439348,14.253999361838112,7.986000638161887
278,10,11.08,1.60152988082774,14.218998566422371,7.94100143357763
279,9,11.08,1.60152988082774,14.218998566422371,7.94100143357763
280,13,11.18,1.5608736433845904,14.239312341033797,8.120687658966203
281,9,11.12,1.5861646722037972,14.228882757519441,8.011117242480557
282,11,11.08,1.5628336378489804,14.143153930184003,8.016846069815998
283,11,11.08,1.5628336378489804,14.143153930184003,8.016846069815998
284,11,11.1,1.555110075505659,14.148015747991092,8.051984252008907
285,11,11.1,1.555110075505659,14.148015747991092,8.051984252008907
286,9,10.96,1.41363621449764,13.730726980415376,8.189273019584626
287,11,10.94,1.4056736347201584,13.69512032405151,8.184879675948489
288,11,10.92,1.3973736297872994,13.658852314383108,8.181147685616892
289,10,10.94,1.3763305250869635,13.637607829170449,8.24239217082955
290,12,10.98,1.3775162505061802,13.679931850992114,8.280068149007887
291,9,10.96,1.3991250910510489,13.702285178460057,8.217714821539944
292,12,10.98,1.4068346290413205,13.737395872920988,8.222604127079013
293,9,10.96,1.4279998856687035,13.75887977591066,8.161120224089341
294,9,10.92,1.4546196641553355,13.771054541744459,8.068945458255541
295,8,10.88,1.5069905136276431,13.833701406710182,7.92629859328982
296,15,10.98,1.6097914683054493,14.13519127787868,7.82480872212132
297,10,10.96,1.6157389160685591,14.126848275494376,7.793151724505625
298,10,10.92,1.6142225019230554,14.083876103769189,7.756123896230811
299,10,10.9,1.6193977212507986,14.074019533651565,7.725980466348435
300,9,10.84,1.633326391766587,14.041319727862511,7.638680272137489
301,10,10.8,1.6288220358560472,13.992491190277853,7.607508809722148
302,12,10.84,1.633326391766587,14.041319727862511,7.638680272137489
303,9,10.82,1.649860847564719,14.05372726122685,7.586272738773151
304,8,10.8,1.6781914463530936,14.089255234852065,7.510744765147937
305,8,10.78,1.705812392488632,14.123392289277717,7.436607710722281
306,9,10.78,1.705812392488632,14.123392289277717,7.436607710722281
307,9,10.74,1.7239016023817373,14.118847140668205,7.361152859331796
308,14,10.82,1.780735917581186,14.310242398459124,7.329757601540876
309,10,10.78,1.7761457928760984,14.261245754037152,7.298754245962847
310,9,10.72,1.7847425927705718,14.218095481830321,7.22190451816968
311,11,10.7,1.7756861278081326,14.18034481050394,7.219655189496059
312,9,10.62,1.7599860852883489,14.069572727165163,7.170427272834836
313,9,10.56,1.763114128062013,14.015703691001546,7.104296308998455
314,10,10.58,1.7506849971322989,14.011342594379306,7.148657405620694
315,14,10.62,1.8057730551016247,14.159315187999184,7.080684812000815
316,9,10.56,1.808821919010913,14.105290961261389,7.014709038738611
